"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:32:19.5921789 AM","chrome.exe","8920","CreateFileMapping","C:\Windows\Fonts\arial.ttf","SUCCESS","SyncType: SyncTypeOther"
"5:32:19.5932538 AM","chrome.exe","8920","CreateFileMapping","C:\Windows\Fonts\arialbd.ttf","SUCCESS","SyncType: SyncTypeOther"
"5:32:19.5946285 AM","chrome.exe","8920","CreateFileMapping","C:\Windows\Fonts\arialbi.ttf","SUCCESS","SyncType: SyncTypeOther"
"5:32:19.5968701 AM","chrome.exe","8920","CreateFileMapping","C:\Windows\Fonts\ariali.ttf","SUCCESS","SyncType: SyncTypeOther"
"5:32:19.5980142 AM","chrome.exe","8920","CreateFileMapping","C:\Windows\Fonts\ariblk.ttf","SUCCESS","SyncType: SyncTypeOther"
"5:32:19.9971574 AM","chrome.exe","8920","CreateFileMapping","C:\Windows\Fonts\times.ttf","SUCCESS","SyncType: SyncTypeOther"
"5:32:20.0044501 AM","chrome.exe","8920","CreateFileMapping","C:\Windows\Fonts\times.ttf","SUCCESS","SyncType: SyncTypeOther"
"5:32:20.0047784 AM","chrome.exe","8920","ReadFile","C:\Windows\Fonts\times.ttf","SUCCESS","Offset: 4,096, Length: 28,672, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"5:32:20.0067630 AM","chrome.exe","8920","ReadFile","C:\Windows\Fonts\times.ttf","SUCCESS","Offset: 983,040, Length: 32,768, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"5:32:20.0079055 AM","chrome.exe","8920","CreateFileMapping","C:\Windows\Fonts\times.ttf","SUCCESS","SyncType: SyncTypeOther"
"5:32:20.1021632 AM","chrome.exe","6732","CreateFile","C:\Windows\System32\version.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:20.1025160 AM","chrome.exe","6732","CreateFile","C:\Windows\System32\version.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:20.1344003 AM","chrome.exe","6732","CreateFileMapping","C:\Windows\System32\version.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:20.1494552 AM","chrome.exe","6732","CreateFile","C:\Windows\System32\version.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:20.2765184 AM","chrome.exe","6732","CreateFile","C:\Windows\System32\cryptbase.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.0301052 AM","chrome.exe","7464","CreateFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"5:32:22.0743743 AM","chrome.exe","6732","CreateFile","C:\Windows\System32\cryptbase.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.0746074 AM","chrome.exe","6732","CreateFileMapping","C:\Windows\System32\cryptbase.dll","SUCCESS","SyncType: SyncTypeOther"
